isbn,title,author,genre,publisher,itemType,totalCopies,availableCopies,borrowCount,lastIssueDate
"030","Compiler Design in C","Allen Holub","Computer Science","Prentice Hall","Book",5,5,0,""
"031","Fluid Mechanics: Fundamentals and Applications","Yunus Cengel","Engineering","McGraw Hill","12",12,0,0,"Book"
"032","University Physics","George B. Thomas","Physics","Pearson","15",15,0,0,"Book"
"111","Spanish Language Lab Audio CD","Maria Garcia","Language","Pearson","Book-CD",10,10,0,""
"112","Java Programming Resource DVD","Y. Daniel Liang","Computer Science","Pearson","Book-CD",5,4,1,"2026-05-02"
"113","Interactive Physics Simulations CD","Halliday & Resnick","Physics","Wiley","Book-CD",8,8,0,""
"114","Music Theory Ear Training DVD","Robert Gauldin","Arts","Norton","Book-CD",15,15,0,""
"115","AutoCAD Practice Exercises CD","James Leach","Engineering","McGraw Hill","Book-CD",12,12,0,""
"116","Chemistry Lab Techniques DVD","Paula Bruice","Chemistry","Pearson","Book-CD",6,6,0,""
"117","Calculus Visual Toolkit CD","George B. Thomas","Mathematics","Pearson","Book-CD",20,20,0,""
"118","Networking Simulation Lab DVD","Behrouz Forouzan","Computer Science","McGraw Hill","Book-CD",10,10,0,""
"119","Anatomy & Physiology Atlas CD","Gerard Tortora","Medical","Wiley","Book-CD",5,5,0,""
"120","Financial Accounting Worksheets CD","Robert Libby","Business","McGraw Hill","Book-CD",12,12,0,""
"121","Discrete Math Problem Solver DVD","Kenneth Rosen","Mathematics","McGraw Hill","Book-CD",10,9,1,"2026-05-02"
"001","Introduction to Algorithms","Cormen, Leiserson","Computer Science","MIT Press","Book",15,12,2,"2026-05-02"
"122","Signal Processing Software CD","Alan V. Oppenheim","Engineering","Pearson","Book-CD",8,8,0,""
"002","Principles of Microeconomics","N. Gregory Mankiw","Economics","Cengage","Book",20,20,0,""
"123","French Conversation Audio CD","Jean-Paul","Language","Cengage","Book-CD",15,15,0,""
"003","Organic Chemistry","Paula Bruice","Chemistry","Pearson","Book",10,10,0,""
"124","Algorithm Visualization DVD","Cormen, Leiserson","Computer Science","MIT Press","Book-CD",5,5,0,""
"004","Artificial Intelligence: A Modern Approach","Stuart Russell","Computer Science","Pearson","Book",12,11,0,""
"125","Marketing Case Studies DVD","Philip Kotler","Business","Pearson","Book-CD",10,10,0,""
"005","Thoma's Calculas","George B. Thomas","Mathematics","Pearson","Book",25,23,1,"2026-04-30"
"126","Digital Circuit Simulator CD","M. Morris Mano","Engineering","Pearson","Book-CD",12,12,0,""
"006","Fundamentals of Physics","Halliday & Resnick","Physics","Wiley","Book",30,29,0,""
"127","Molecular Biology Video Suite DVD","Bruce Alberts","Biology","Garland Science","Book-CD",6,6,0,""
"007","Database System Concepts","Silberschatz, Korth","Computer Science","McGraw Hill","Book",8,8,0,""
"128","Macroeconomics Data Tools CD","Olivier Blanchard","Economics","Pearson","Book-CD",10,10,0,""
"008","Molecular Biology of the Cell","Bruce Alberts","Biology","Garland Science","Book",6,6,0,""
"129","Psychology Experiment Clips DVD","Wayne Weiten","Psychology","Cengage","Book-CD",15,15,0,""
"009","Macroeconomics","Olivier Blanchard","Economics","Pearson","Book",14,14,0,""
"130","Thermodynamics Property Tables CD","Yunus Cengel","Engineering","McGraw Hill","Book-CD",20,20,0,""
"010","Operating System Concepts","Abraham Silberschatz","Computer Science","Wiley","Book",10,9,1,"2026-04-30"
"011","Linear Algebra and Its Applications","Gilbert Strang","Mathematics","Cengage","Book",18,18,0,""
"012","Structural Analysis","Russell C. Hibbeler","Engineering","Pearson","Book",10,10,0,""
"013","The Art of Computer Programming","Donald Knuth","Computer Science","Addison-Wesley","Book",5,5,0,""
"014","Psychology: Themes and Variations","Wayne Weiten","Psychology","Cengage","Book",15,15,0,""
"015","Modern Digital and Analog Communication","B.P. Lathi","Engineering","Oxford","Book",12,11,0,""
"016","A History of Western Philosophy","Bertrand Russell","Philosophy","Routledge","Book",7,7,0,""
"017","International Relations Theory","Stephen McGlinchey","Pol Science","E-IR","Book",9,9,0,""
"018","Data Communications and Networking","Behrouz Forouzan","Computer Science","McGraw Hill","Book",22,22,0,""
"019","Principles of Marketing","Philip Kotler","Keep current","Pearson","Book",25,25,0,""
"020","The Feynman Lectures on Physics","Richard Feynman","Physics","Caltech","Book",6,6,0,""
"021","Thermodynamics: An Engineering Approach","Yunus Cengel","Engineering","McGraw Hill","Book",14,14,0,""
"022","Sociology: A Global Perspective","Joan Ferrante","Sociology","Cengage","Book",11,11,0,""
"023","Computer Networking: A Top-Down Approach","James Kurose","Computer Science","Pearson","Book",16,16,0,""
"024","Introduction to Electrodynamics","David J. Griffiths","Physics","Cambridge","Book",9,8,0,""
"025","Discrete Mathematics and Its Applications","Kenneth Rosen","Mathematics","McGraw Hill","Book",20,20,0,""
"026","Financial Accounting","Robert Libby","Business","McGraw Hill","Book",15,15,0,""
"027","Signals and Systems","Alan V. Oppenheim","Engineering","Pearson","Book",10,8,0,""
"028","Robbins Basic Pathology","Vinay Kumar","Medical","Elsevier","Book",12,12,0,""
"029","Digital Design","M. Morris Mano","Engineering","Pearson","Book",18,18,0,""
